Airport Name,Flight Type,Carrier,Flight Number,Scheduled Departure (Local),Revised Departure (Local),Departure Delay (min),Scheduled Arrival (Local),Revised Arrival (Local),Arrival Delay (min)
Bangalore,Arrival,Thai  International,TG 325,,,,2025-08-15 23:25+05:30,2025-08-16 00:01+05:30,36
Bangalore,Arrival,Starlight Airline,QP 1135,,,,2025-08-16 00:15+05:30,2025-08-16 00:01+05:30,-14
Bangalore,Arrival,Starlight Airline,QP 1344,,,,2025-08-15 23:35+05:30,2025-08-16 00:04+05:30,29
Bangalore,Arrival,Japan Airlines,JL 753,,,,2025-08-16 00:15+05:30,2025-08-16 00:06+05:30,-9
Bangalore,Arrival,IndiGo,6E 5388,,,,2025-08-16 00:05+05:30,2025-08-16 00:10+05:30,5
Bangalore,Arrival,IndiGo,6E 996,,,,2025-08-16 00:25+05:30,2025-08-16 00:10+05:30,-15
Bangalore,Arrival,IndiGo,6E 691,,,,2025-08-16 00:05+05:30,2025-08-16 00:12+05:30,7
Bangalore,Arrival,IndiGo,6E 573,,,,2025-08-16 00:40+05:30,2025-08-16 00:13+05:30,-27
Bangalore,Arrival,IndiGo,6E 6466,,,,2025-08-16 00:15+05:30,2025-08-16 00:21+05:30,6
Bangalore,Arrival,IndiGo,6E 5355,,,,2025-08-16 00:45+05:30,2025-08-16 00:23+05:30,-22
Bangalore,Arrival,Air India,AI 2807,,,,2025-08-15 23:25+05:30,2025-08-16 00:24+05:30,59
Bangalore,Arrival,IndiGo,6E 477,,,,2025-08-16 00:40+05:30,2025-08-16 00:27+05:30,-13
Bangalore,Arrival,Air France,AF 194,,,,2025-08-15 23:45+05:30,2025-08-16 00:27+05:30,42
Bangalore,Arrival,Lufthansa,LH 764,,,,2025-08-16 00:30+05:30,2025-08-16 00:31+05:30,1
Bangalore,Arrival,IndiGo,6E 6567,,,,2025-08-16 01:00+05:30,2025-08-16 00:35+05:30,-25
Bangalore,Arrival,Starlight Airline,QP 1350,,,,2025-08-16 00:50+05:30,2025-08-16 00:39+05:30,-11
Bangalore,Arrival,IndiGo,6E 6803,,,,2025-08-16 00:20+05:30,2025-08-16 00:45+05:30,25
Bangalore,Arrival,IndiGo,6E 906,,,,2025-08-16 01:30+05:30,2025-08-16 00:56+05:30,-34
Bangalore,Arrival,IndiGo,6E 901,,,,2025-08-16 00:50+05:30,2025-08-16 01:01+05:30,11
Bangalore,Arrival,IndiGo,6E 949,,,,2025-08-16 01:30+05:30,2025-08-16 01:21+05:30,-9
Bangalore,Arrival,IndiGo,6E 5269,,,,2025-08-16 01:55+05:30,2025-08-16 01:34+05:30,-21
Bangalore,Arrival,Alliance Air,9I 548,,,,2025-08-15 23:05+05:30,2025-08-16 01:35+05:30,150
Bangalore,Arrival,Lufthansa,LH 754,,,,2025-08-16 01:20+05:30,2025-08-16 01:42+05:30,22
Bangalore,Arrival,SriLankan,UL 173,,,,2025-08-16 02:00+05:30,2025-08-16 01:48+05:30,-12
Bangalore,Arrival,IndiGo,6E 5322,,,,2025-08-16 02:05+05:30,2025-08-16 01:59+05:30,-6
