Airport Name,Flight Type,Carrier,Flight Number,Scheduled Departure (Local),Revised Departure (Local),Departure Delay (min),Scheduled Arrival (Local),Revised Arrival (Local),Arrival Delay (min)
Delhi,Arrival,IndiGo,6E 6480,,,,2025-08-15 23:30+05:30,2025-08-16 00:00+05:30,30
Delhi,Arrival,IndiGo,6E 5347,,,,2025-08-15 23:25+05:30,2025-08-16 00:00+05:30,35
Delhi,Arrival,IndiGo,6E 6262,,,,2025-08-16 00:05+05:30,2025-08-16 00:01+05:30,-4
Delhi,Arrival,Lufthansa,LH 762,,,,2025-08-15 23:55+05:30,2025-08-16 00:03+05:30,8
Delhi,Arrival,Air France,AF 226,,,,2025-08-15 22:50+05:30,2025-08-16 00:05+05:30,75
Delhi,Arrival,Air India,AI 2478,,,,2025-08-16 00:20+05:30,2025-08-16 00:08+05:30,-12
Delhi,Arrival,Air India,AI 162,,,,2025-08-16 00:10+05:30,2025-08-16 00:10+05:30,0
Delhi,Arrival,Air Astana,KC 963,,,,2025-08-16 00:10+05:30,2025-08-16 00:10+05:30,0
Delhi,Arrival,Thai  International,TG 335,,,,2025-08-16 00:25+05:30,2025-08-16 00:17+05:30,-8
Delhi,Arrival,Air India,AI 2979,,,,2025-08-16 00:25+05:30,2025-08-16 00:22+05:30,-3
Delhi,Arrival,IndiGo,6E 2415,,,,2025-08-16 01:00+05:30,2025-08-16 00:24+05:30,-36
Delhi,Arrival,IndiGo,6E 2359,,,,2025-08-16 00:35+05:30,2025-08-16 00:28+05:30,-7
Delhi,Arrival,Air India,AI 896,,,,2025-08-16 01:00+05:30,2025-08-16 00:29+05:30,-31
Delhi,Arrival,Air India,AI 389,,,,2025-08-16 00:40+05:30,2025-08-16 00:37+05:30,-3
Delhi,Arrival,Air India,AI 2448,,,,2025-08-16 01:10+05:30,2025-08-16 00:45+05:30,-25
Delhi,Arrival,IndiGo,6E 651,,,,2025-08-16 00:45+05:30,2025-08-16 00:45+05:30,0
Delhi,Arrival,IndiGo,6E 2166,,,,2025-08-16 01:10+05:30,2025-08-16 00:48+05:30,-22
Delhi,Arrival,IndiGo,6E 5078,,,,2025-08-16 01:20+05:30,2025-08-16 00:53+05:30,-27
Delhi,Arrival,SpiceJet,SG 710,,,,2025-08-16 00:55+05:30,2025-08-16 00:55+05:30,0
Delhi,Arrival,IndiGo,6E 2385,,,,2025-08-16 01:10+05:30,2025-08-16 00:56+05:30,-14
Delhi,Arrival,IndiGo,6E 6072,,,,2025-08-16 01:00+05:30,2025-08-16 01:00+05:30,0
Delhi,Arrival,Air India Express,IX 1040,,,,2025-08-16 01:30+05:30,2025-08-16 01:08+05:30,-22
Delhi,Arrival,IndiGo,6E 2035,,,,2025-08-16 01:10+05:30,2025-08-16 01:09+05:30,-1
Delhi,Arrival,IndiGo,6E 2344,,,,2025-08-16 01:10+05:30,2025-08-16 01:10+05:30,0
Delhi,Arrival,IndiGo,6E 2278,,,,2025-08-16 01:20+05:30,2025-08-16 01:12+05:30,-8
Delhi,Arrival,IndiGo,6E 2409,,,,2025-08-16 01:20+05:30,2025-08-16 01:13+05:30,-7
Delhi,Arrival,IndiGo,6E 2335,,,,2025-08-16 02:00+05:30,2025-08-16 01:19+05:30,-41
Delhi,Arrival,IndiGo,6E 2202,,,,2025-08-16 01:20+05:30,2025-08-16 01:20+05:30,0
Delhi,Arrival,Air India,AI 2988,,,,2025-08-16 01:20+05:30,2025-08-16 01:20+05:30,0
Delhi,Arrival,SpiceJet,SG 530,,,,2025-08-16 02:10+05:30,2025-08-16 01:25+05:30,-45
Delhi,Arrival,ZZ,ZZ 2200,,,,2025-08-15 22:00+05:30,2025-08-16 01:30+05:30,210
Delhi,Arrival,IndiGo,6E 6076,,,,2025-08-16 02:00+05:30,2025-08-16 01:30+05:30,-30
Delhi,Arrival,Air India,AI 2026,,,,2025-08-16 00:50+05:30,2025-08-16 01:31+05:30,41
Delhi,Arrival,IndiGo,6E 2007,,,,2025-08-16 02:00+05:30,2025-08-16 01:38+05:30,-22
Delhi,Arrival,Air India,AI 2303,,,,2025-08-16 01:40+05:30,2025-08-16 01:39+05:30,-1
Delhi,Arrival,Air India,AI 532,,,,2025-08-16 01:45+05:30,2025-08-16 01:45+05:30,0
Delhi,Arrival,ITA,AZ 770,,,,2025-08-16 01:10+05:30,2025-08-16 01:51+05:30,41
Delhi,Arrival,Qatar,QR 578,,,,2025-08-16 01:55+05:30,2025-08-16 01:55+05:30,0
Delhi,Arrival,KLM,KL 871,,,,2025-08-16 01:55+05:30,2025-08-16 01:55+05:30,0
Delhi,Arrival,Ethiopian,ET 688,,,,2025-08-16 01:20+05:30,2025-08-16 01:57+05:30,37
Delhi,Arrival,IndiGo,6E 6021,,,,2025-08-16 02:00+05:30,2025-08-16 01:58+05:30,-2
Delhi,Arrival,IndiGo,6E 2279,,,,2025-08-16 02:30+05:30,2025-08-16 02:04+05:30,-26
Delhi,Arrival,Thai  International,TG 331,,,,2025-08-16 02:15+05:30,2025-08-16 02:04+05:30,-11
Delhi,Arrival,IndiGo,6E 2776,,,,2025-08-16 02:10+05:30,2025-08-16 02:10+05:30,0
Delhi,Arrival,ZZ,ZZ 140,,,,2025-08-16 01:40+05:30,2025-08-16 02:12+05:30,32
Delhi,Arrival,Air India,AI 916,,,,2025-08-16 01:40+05:30,2025-08-16 02:16+05:30,36
Delhi,Arrival,IndiGo,6E 6512,,,,2025-08-15 23:15+05:30,2025-08-16 02:16+05:30,181
Delhi,Arrival,Air India Express,IX 1016,,,,2025-08-16 02:20+05:30,2025-08-16 02:20+05:30,0
Delhi,Arrival,Air India Express,IX 1201,,,,2025-08-16 02:55+05:30,2025-08-16 02:20+05:30,-35
Delhi,Arrival,Air India,AI 2383,,,,2025-08-16 03:00+05:30,2025-08-16 02:29+05:30,-31
Delhi,Arrival,Emirates,EK 512,,,,2025-08-16 02:35+05:30,2025-08-16 02:32+05:30,-3
Delhi,Arrival,LOT - Polish,LO 71,,,,2025-08-16 02:55+05:30,2025-08-16 02:36+05:30,-19
